State,District,Latitude,Longitude,Crop,Season,Year,Sowing_date,Harvest_date,Area_ha,Production_tonnes,Yield_t_per_ha,Rainfall_mm,Avg_Temperature_C,Humidity_%,Solar_Radiation_MJ_m2_day,Soil_pH,Soil_N_percent,Soil_P_ppm,Soil_K_ppm,Soil_organic_percent,Fertilizer_kg_per_ha,Irrigation_type,Irrigation_mm,NDVI,EVI,Pesticide_used,Previous_crop
Andhra Pradesh,Andhra Pradesh_Dist_39,20.263,79.19,Cotton,Zaid,2019,2019-04-22,2019-07-11,107.929,149.385,1.384,1.0,24.82,48.2,21.56,7.09,0.267,27.21,170.19,2.1,81.9,Drip,313.6,0.48946085301131503,0.3695642204087037,0,Pulses
Tamil Nadu,Tamil Nadu_Dist_32,14.789,73.034,Pulses,Kharif,2016,2016-06-14,2016-10-25,201.585,276.408,1.371,391.0,24.24,62.7,13.93,5.61,0.18,7.97,296.95,2.77,208.3,Drip,259.8,0.95,0.7348309468106747,1,Rice
West Bengal,West Bengal_Dist_37,18.761,72.934,Millet,Kharif,2011,2011-07-23,2011-11-27,158.809,196.861,1.24,438.0,27.17,43.8,14.8,6.26,0.251,33.77,457.43,1.24,99.6,Rainfed,0.0,0.7222062858804195,0.5956429691155105,0,Cotton
Karnataka,Karnataka_Dist_39,27.77,70.545,Millet,Rabi,2017,2017-11-06,2018-03-07,15.2,31.509,2.073,181.0,18.39,68.9,17.41,6.94,0.152,12.87,440.31,1.89,56.6,Sprinkler,629.4,0.7210194382163576,0.6536306393537566,1,Millet
Maharashtra,Maharashtra_Dist_9,9.094,71.564,Cotton,Zaid,2014,2014-03-04,2014-05-28,55.658,99.089,1.78,97.0,22.13,29.5,11.39,6.51,0.088,31.21,400.72,1.66,32.1,Groundwater,510.6,0.57746039071045,0.49648292406936056,0,Maize
Punjab,Punjab_Dist_5,18.569,75.601,Pulses,Zaid,2010,2010-03-20,2010-06-04,11.849,10.473,0.884,124.0,23.75,79.4,11.58,6.91,0.157,36.74,223.75,0.88,198.8,Rainfed,0.0,0.6102977748353541,0.4482896763819402,1,Wheat
Uttar Pradesh,Uttar Pradesh_Dist_6,8.514,89.241,Millet,Rabi,2013,2013-10-17,2014-02-10,21.507,27.398,1.274,278.0,22.41,70.4,18.09,6.5,0.225,55.61,100.65,3.08,64.5,Rainfed,0.0,0.47546120369234895,0.3980362964811419,1,Millet
Uttar Pradesh,Uttar Pradesh_Dist_2,24.622,68.37,Wheat,Zaid,2015,2015-04-18,2015-08-11,135.738,1055.584,7.777,50.0,32.78,52.8,17.85,6.39,0.087,16.78,107.09,3.08,217.3,Sprinkler,611.0,0.95,0.760732955205341,1,Millet
Karnataka,Karnataka_Dist_36,27.572,88.245,Pulses,Kharif,2021,2021-07-16,2021-11-27,59.91,96.966,1.619,734.0,17.19,40.3,24.55,6.33,0.162,16.79,325.75,2.49,59.7,Canal,227.3,0.95,0.7426533950013724,1,Soybean
Tamil Nadu,Tamil Nadu_Dist_15,24.381,86.177,Rice,Rabi,2014,2014-11-01,2015-02-10,19.124,80.365,4.202,127.0,23.0,55.8,17.98,6.25,0.224,9.13,476.21,2.14,49.6,Rainfed,0.0,0.34131814486016315,0.27536493576764326,1,Rice
Tamil Nadu,Tamil Nadu_Dist_9,24.047,85.215,Soybean,Rabi,2017,2017-11-25,2018-03-06,51.306,80.101,1.561,220.0,33.34,66.6,19.63,7.85,0.299,29.41,319.76,2.87,0.0,Canal,230.6,0.5432290548814457,0.4465673250832221,1,Millet
Madhya Pradesh,Madhya Pradesh_Dist_19,33.09,76.8,Cotton,Kharif,2018,2018-07-06,2018-11-04,9.467,10.702,1.13,295.0,22.87,67.5,13.09,7.46,0.076,54.14,243.49,1.91,173.4,Rainfed,0.0,0.5613111377752524,0.425571169343758,1,Soybean
Madhya Pradesh,Madhya Pradesh_Dist_25,22.027,81.066,Cotton,Rabi,2011,2011-11-24,2012-05-25,100.231,100.4,1.002,187.0,18.91,72.0,15.22,6.51,0.152,22.75,350.86,4.33,94.4,Rainfed,0.0,0.5124024520776713,0.41966170872721265,0,Pulses
Tamil Nadu,Tamil Nadu_Dist_18,27.452,86.669,Millet,Kharif,2023,2023-06-20,2023-11-15,1.086,1.446,1.331,793.0,27.75,83.0,20.99,6.07,0.085,37.81,195.49,0.86,107.0,Rainfed,0.0,0.95,0.6975777842382707,0,Pulses
Rajasthan,Rajasthan_Dist_18,21.903,72.796,Pulses,Kharif,2015,2015-06-10,2015-09-21,20.735,24.453,1.179,610.0,30.02,72.0,28.3,6.84,0.295,37.32,185.92,1.42,90.6,Rainfed,0.0,0.8194519992701046,0.5924241154531238,0,Fallow
Karnataka,Karnataka_Dist_9,9.411,75.35,Pulses,Zaid,2010,2010-04-11,2010-06-23,190.687,125.239,0.657,82.0,28.46,52.8,26.39,5.62,0.14,36.8,289.21,3.11,171.5,Rainfed,0.0,0.43717579889221836,0.30752802327025425,0,Fallow
Madhya Pradesh,Madhya Pradesh_Dist_20,17.825,92.165,Pulses,Rabi,2017,2017-10-05,2018-04-19,4.357,7.56,1.735,158.0,23.81,69.5,16.06,5.34,0.205,26.01,317.01,1.02,91.0,Drip,598.8,0.6944848658541793,0.5280718122793945,0,Cotton
Maharashtra,Maharashtra_Dist_18,21.952,91.754,Millet,Kharif,2018,2018-07-04,2018-10-03,30.782,60.897,1.978,415.0,26.27,67.1,21.48,6.22,0.145,58.68,187.87,2.55,77.3,Canal,224.0,0.8409590065622427,0.6147445728860068,0,Pulses
Bihar,Bihar_Dist_25,14.842,82.646,Pulses,Kharif,2021,2021-06-22,2021-11-25,40.107,80.76,2.014,489.0,24.26,68.9,18.5,6.27,0.116,16.06,467.45,4.34,131.0,Groundwater,731.2,0.95,0.6856408564261623,0,Millet
Bihar,Bihar_Dist_31,11.732,79.572,Millet,Zaid,2014,2014-03-16,2014-05-31,2.049,4.337,2.117,61.0,31.13,25.6,19.51,7.0,0.279,44.74,165.89,2.02,142.1,Groundwater,502.4,0.7778770962763889,0.599050328130624,0,Fallow
Karnataka,Karnataka_Dist_13,16.756,88.769,Soybean,Kharif,2023,2023-07-01,2023-11-09,195.888,623.689,3.184,582.0,19.64,48.9,17.42,7.64,0.204,52.97,201.35,0.89,93.2,Drip,574.6,0.95,0.7032572832445028,0,Maize
Uttar Pradesh,Uttar Pradesh_Dist_18,33.32,93.002,Rice,Rabi,2022,2022-10-25,2023-03-21,7.776,41.366,5.32,89.0,23.22,51.5,21.18,6.62,0.208,34.7,273.63,1.97,105.9,Rainfed,0.0,0.5102731837303496,0.3909808460636384,0,Millet
Punjab,Punjab_Dist_16,22.91,87.168,Maize,Rabi,2011,2011-10-21,2012-03-14,110.47,1253.916,11.351,317.0,23.29,56.5,22.32,6.45,0.23,44.04,479.25,1.6,129.7,Drip,498.5,0.8417663698801732,0.6781177863870843,1,Fallow
Uttar Pradesh,Uttar Pradesh_Dist_35,21.423,71.909,Rice,Kharif,2017,2017-06-23,2017-09-23,19.997,140.584,7.03,855.0,23.49,40.6,15.97,6.51,0.27,27.61,229.16,2.33,133.8,Rainfed,0.0,0.95,0.691761369063814,1,Millet
Madhya Pradesh,Madhya Pradesh_Dist_23,15.316,76.283,Maize,Rabi,2010,2010-11-19,2011-03-23,34.766,417.192,12.0,145.0,24.8,62.4,21.31,5.88,0.323,40.09,403.05,2.16,201.3,Canal,968.0,0.95,0.7686475473360798,1,Pulses
Uttar Pradesh,Uttar Pradesh_Dist_35,8.001,95.664,Soybean,Rabi,2021,2021-10-10,2022-03-16,16.298,50.444,3.095,135.0,23.59,50.7,14.53,6.68,0.052,28.61,251.31,1.01,182.7,Canal,740.9,0.95,0.7890042131275163,0,Wheat
Karnataka,Karnataka_Dist_35,9.737,79.669,Soybean,Rabi,2010,2010-10-28,2011-04-25,84.657,354.179,4.184,208.0,32.28,58.8,21.24,6.15,0.33,9.18,290.47,3.59,247.1,Sprinkler,696.0,0.95,0.7650773621445689,1,Rice
Andhra Pradesh,Andhra Pradesh_Dist_40,33.054,81.169,Cotton,Rabi,2021,2021-11-18,2022-06-04,1.687,1.715,1.017,185.0,16.98,73.1,30.13,6.79,0.328,27.14,453.93,2.23,83.1,Rainfed,0.0,0.43244296414348776,0.39737987531352037,1,Maize
Uttar Pradesh,Uttar Pradesh_Dist_40,16.307,69.228,Sugarcane,Rabi,2016,2016-10-27,2017-02-09,66.805,10020.75,150.0,144.0,24.91,59.9,13.26,5.85,0.259,43.42,375.65,2.72,175.0,Drip,566.0,0.7339875529378983,0.5679382280407548,0,Wheat
Uttar Pradesh,Uttar Pradesh_Dist_12,16.004,76.124,Wheat,Kharif,2011,2011-07-17,2011-12-16,50.693,383.404,7.563,376.0,20.76,49.3,23.61,6.1,0.282,12.13,270.58,2.78,69.1,Canal,749.9,0.95,0.7747950950271651,0,Fallow
West Bengal,West Bengal_Dist_38,27.481,70.556,Sugarcane,Kharif,2015,2015-06-27,2015-11-26,8.392,791.429,94.308,349.0,20.53,91.3,19.39,7.38,0.151,20.97,307.3,0.61,52.4,Rainfed,0.0,0.5351531691578003,0.4049268062716414,0,Fallow
Punjab,Punjab_Dist_30,10.659,75.689,Wheat,Rabi,2018,2018-10-09,2019-04-05,94.143,687.469,7.302,206.0,30.88,54.5,24.08,6.54,0.215,34.61,317.33,4.77,8.4,Drip,560.9,0.6966301035777873,0.5663462949556634,1,Cotton
Tamil Nadu,Tamil Nadu_Dist_3,29.735,78.727,Rice,Rabi,2011,2011-10-13,2012-03-29,34.665,258.013,7.443,151.0,29.84,51.0,20.06,7.01,0.099,24.32,191.24,2.07,45.4,Groundwater,681.2,0.8058552460995008,0.5827938425345762,0,Wheat
Bihar,Bihar_Dist_13,27.345,79.208,Cotton,Zaid,2020,2020-04-15,2020-07-27,52.782,144.862,2.745,45.0,27.72,64.1,22.47,5.73,0.333,46.53,167.37,2.02,82.8,Groundwater,757.3,0.820980626365798,0.6797108971928042,1,Wheat
Madhya Pradesh,Madhya Pradesh_Dist_7,31.12,71.259,Maize,Kharif,2018,2018-07-11,2018-11-23,12.366,102.767,8.31,531.0,25.23,54.1,8.45,6.78,0.303,46.9,104.48,4.99,218.3,Rainfed,0.0,0.95,0.771911400096472,1,Rice
Tamil Nadu,Tamil Nadu_Dist_21,29.367,84.86,Soybean,Rabi,2022,2022-10-25,2023-03-22,21.865,56.664,2.592,130.0,26.26,55.3,19.57,6.76,0.206,50.66,256.08,1.37,150.0,Drip,313.9,0.8441599672556499,0.6915286997141972,1,Maize
Tamil Nadu,Tamil Nadu_Dist_17,34.963,74.827,Soybean,Rabi,2017,2017-11-01,2018-04-26,76.385,176.264,2.308,215.0,20.77,74.8,16.82,6.9,0.163,34.42,448.17,4.61,0.0,Groundwater,349.5,0.6676395330440145,0.48121452546810706,0,Fallow
Tamil Nadu,Tamil Nadu_Dist_9,12.249,87.458,Sugarcane,Kharif,2014,2014-06-18,2014-10-21,65.41,9811.5,150.0,497.0,24.01,53.6,17.95,5.82,0.218,21.55,150.2,2.33,161.8,Groundwater,324.2,0.95,0.7648714955539914,0,Cotton
Tamil Nadu,Tamil Nadu_Dist_36,30.374,91.864,Maize,Kharif,2010,2010-07-19,2010-12-02,70.609,756.607,10.715,488.0,21.05,62.4,14.52,6.62,0.205,55.84,310.61,3.12,0.0,Canal,521.3,0.9407914252362052,0.7381151368404272,0,Rice
Bihar,Bihar_Dist_15,34.205,88.766,Sugarcane,Rabi,2011,2011-11-06,2012-04-15,10.966,1153.203,105.162,65.0,29.09,44.2,12.75,5.95,0.05,44.34,151.9,0.97,145.6,Canal,390.0,0.6375722515586539,0.4402888509116827,0,Wheat
Rajasthan,Rajasthan_Dist_37,27.862,82.123,Rice,Zaid,2020,2020-03-25,2020-07-21,20.019,62.219,3.108,58.0,17.4,44.9,19.8,6.7,0.127,25.91,445.93,3.48,82.3,Rainfed,0.0,0.39009400010259226,0.2787575793213726,1,Wheat
Andhra Pradesh,Andhra Pradesh_Dist_23,11.031,76.445,Millet,Rabi,2023,2023-11-10,2024-02-24,84.381,70.431,0.835,152.0,28.57,51.9,7.18,6.92,0.112,55.5,422.38,4.9,120.9,Rainfed,0.0,0.4501361576561512,0.3787848664430368,0,Fallow
Tamil Nadu,Tamil Nadu_Dist_3,23.035,94.942,Soybean,Zaid,2019,2019-03-24,2019-07-05,48.12,54.182,1.126,81.0,15.89,58.1,16.14,6.8,0.189,32.24,259.63,4.8,35.6,Rainfed,0.0,0.2806620718910305,0.1797267354317826,0,Rice
Madhya Pradesh,Madhya Pradesh_Dist_29,22.295,79.469,Rice,Kharif,2016,2016-06-03,2016-10-14,24.238,119.996,4.951,369.0,24.69,37.0,21.94,6.6,0.21,9.17,373.25,3.31,26.8,Rainfed,0.0,0.5155937310477422,0.37153552462211237,1,Rice
Rajasthan,Rajasthan_Dist_37,19.296,80.785,Wheat,Zaid,2016,2016-03-05,2016-06-21,19.955,57.045,2.859,104.0,25.61,51.8,19.1,7.09,0.078,59.39,478.61,0.85,94.1,Rainfed,0.0,0.37544961528539517,0.31803041732608767,1,Soybean
Rajasthan,Rajasthan_Dist_36,30.322,71.101,Cotton,Rabi,2016,2016-10-09,2017-01-26,50.789,94.181,1.854,50.0,26.49,40.7,11.49,5.27,0.082,13.01,94.04,2.62,77.1,Drip,581.8,0.6994761556937779,0.6000549777084252,0,Maize
Madhya Pradesh,Madhya Pradesh_Dist_21,9.386,79.024,Rice,Kharif,2020,2020-06-12,2020-10-21,35.635,161.507,4.532,611.0,31.72,65.1,27.59,5.58,0.236,54.0,288.39,4.21,30.8,Rainfed,0.0,0.7027012288735834,0.5557531858327155,1,Cotton
West Bengal,West Bengal_Dist_2,21.439,77.95,Sugarcane,Kharif,2015,2015-07-27,2015-10-30,21.067,3160.05,150.0,646.0,28.49,65.4,9.39,6.28,0.157,48.51,294.29,1.08,26.5,Drip,495.6,0.95,0.7405646185478172,1,Rice
Bihar,Bihar_Dist_13,10.818,96.498,Soybean,Kharif,2022,2022-06-20,2022-10-19,14.347,50.051,3.489,461.0,24.78,50.8,20.53,6.57,0.282,49.76,287.27,1.42,77.8,Drip,494.9,0.9265789918004617,0.7658026397739852,0,Wheat
Uttar Pradesh,Uttar Pradesh_Dist_19,10.855,87.279,Wheat,Rabi,2021,2021-11-11,2022-02-21,98.894,673.559,6.811,182.0,25.68,47.3,21.04,6.05,0.167,45.79,242.31,1.99,93.9,Sprinkler,597.7,0.759026061186183,0.5963139876123694,1,Millet
Bihar,Bihar_Dist_35,12.371,75.23,Cotton,Kharif,2018,2018-06-13,2018-09-13,17.356,35.555,2.049,493.0,23.64,59.8,15.91,5.28,0.09,25.7,362.35,4.02,100.7,Canal,624.6,0.95,0.7718192567759321,1,Millet
West Bengal,West Bengal_Dist_34,26.848,79.251,Wheat,Rabi,2012,2012-10-21,2013-03-29,13.237,47.312,3.574,368.0,28.38,76.5,20.46,5.54,0.129,7.16,208.29,3.85,123.7,Rainfed,0.0,0.7150163333580563,0.5931431529820674,0,Pulses
Maharashtra,Maharashtra_Dist_5,34.115,80.721,Millet,Zaid,2014,2014-03-28,2014-06-14,9.213,15.151,1.645,137.0,17.69,29.0,18.45,6.23,0.144,50.09,312.66,2.53,100.5,Drip,314.2,0.5688380092925972,0.4097387864166918,1,Wheat
Madhya Pradesh,Madhya Pradesh_Dist_15,8.071,81.076,Millet,Zaid,2021,2021-03-07,2021-05-17,25.49,27.262,1.07,70.0,29.6,37.2,19.47,6.63,0.293,47.94,170.3,3.72,200.3,Rainfed,0.0,0.48480887382097804,0.4213531439249046,1,Millet
Tamil Nadu,Tamil Nadu_Dist_30,27.87,72.01,Wheat,Kharif,2013,2013-07-24,2013-12-11,22.227,178.949,8.051,300.0,25.94,53.7,21.13,6.43,0.2,16.83,194.18,1.26,7.2,Groundwater,688.8,0.8333243099914754,0.7129277468230195,1,Cotton
Uttar Pradesh,Uttar Pradesh_Dist_2,8.89,92.705,Soybean,Zaid,2015,2015-04-02,2015-07-22,169.832,160.72,0.946,60.0,27.17,56.5,17.02,6.75,0.191,48.06,393.43,3.22,64.2,Rainfed,0.0,0.3518826887287588,0.23923857790229128,1,Maize
Karnataka,Karnataka_Dist_25,11.966,96.155,Wheat,Zaid,2014,2014-03-24,2014-05-28,58.105,197.348,3.396,116.0,20.55,50.1,22.97,6.04,0.198,47.27,173.09,1.71,82.0,Rainfed,0.0,0.39403596647925937,0.2752343329290913,1,Soybean
Madhya Pradesh,Madhya Pradesh_Dist_34,26.782,95.199,Cotton,Rabi,2013,2013-11-18,2014-04-24,147.825,304.715,2.061,130.0,26.33,79.5,21.34,6.07,0.103,28.18,413.41,2.59,170.7,Canal,630.0,0.8237361040509292,0.6987144403551102,1,Pulses
Uttar Pradesh,Uttar Pradesh_Dist_14,13.4,71.794,Maize,Zaid,2018,2018-04-23,2018-08-05,39.584,345.943,8.739,71.0,25.6,60.2,10.59,6.29,0.129,33.27,320.72,4.67,100.7,Drip,458.1,0.6752805490293302,0.5360078346583912,0,Rice
Tamil Nadu,Tamil Nadu_Dist_9,17.839,78.237,Millet,Kharif,2020,2020-06-24,2020-11-29,56.822,150.95,2.657,713.0,26.17,70.9,24.96,6.51,0.084,50.56,185.78,4.0,119.0,Groundwater,867.8,0.95,0.8089968854955982,0,Cotton
Punjab,Punjab_Dist_12,31.193,96.756,Soybean,Kharif,2021,2021-07-15,2021-11-20,51.081,110.773,2.169,621.0,29.54,59.6,10.89,6.43,0.211,47.41,357.73,2.34,187.5,Rainfed,0.0,0.95,0.7326547009396939,1,Soybean
Karnataka,Karnataka_Dist_10,10.12,84.256,Cotton,Kharif,2012,2012-06-22,2012-10-19,17.91,20.628,1.152,404.0,26.39,76.6,16.52,7.22,0.201,40.53,488.62,0.75,0.0,Rainfed,0.0,0.567251049740181,0.460359184388186,1,Maize
Maharashtra,Maharashtra_Dist_23,13.666,85.374,Rice,Zaid,2022,2022-03-13,2022-07-05,20.679,113.343,5.481,88.0,24.23,71.3,18.19,6.86,0.052,28.53,162.94,4.6,157.7,Canal,339.7,0.6767855009717539,0.48641722774852014,1,Cotton
Rajasthan,Rajasthan_Dist_31,15.99,88.794,Maize,Kharif,2013,2013-07-08,2013-11-27,5.157,23.114,4.482,476.0,22.78,66.4,26.62,7.48,0.16,56.49,103.06,3.53,0.0,Rainfed,0.0,0.5842794314943601,0.4719657670776487,1,Fallow
Bihar,Bihar_Dist_14,30.814,68.007,Rice,Kharif,2017,2017-07-14,2017-11-12,4.902,44.706,9.12,590.0,28.41,52.6,19.42,7.08,0.299,7.29,89.71,2.18,169.9,Sprinkler,374.4,0.95,0.7634374185130254,1,Cotton
Madhya Pradesh,Madhya Pradesh_Dist_3,16.195,71.15,Millet,Zaid,2015,2015-04-27,2015-07-25,9.727,8.564,0.88,40.0,33.77,34.8,15.5,6.67,0.234,34.26,118.58,2.5,159.2,Rainfed,0.0,0.4138151987891775,0.3214528631508113,0,Wheat
Maharashtra,Maharashtra_Dist_16,17.436,89.512,Millet,Zaid,2010,2010-04-13,2010-07-10,32.508,59.494,1.83,111.0,26.48,41.0,22.84,6.01,0.131,33.13,264.86,2.81,29.0,Canal,738.2,0.6655065570329696,0.5131219541393772,0,Maize
Karnataka,Karnataka_Dist_19,34.354,95.753,Pulses,Kharif,2016,2016-07-03,2016-11-27,71.174,49.213,0.691,327.0,27.9,82.9,27.51,8.22,0.198,36.1,380.51,0.99,45.9,Rainfed,0.0,0.48404693329534937,0.3992088708556753,0,Rice
Tamil Nadu,Tamil Nadu_Dist_8,8.902,91.659,Maize,Zaid,2021,2021-04-01,2021-06-28,3.617,39.986,11.055,27.0,24.04,79.3,17.71,6.58,0.156,38.18,211.04,4.59,128.5,Canal,896.3,0.8101108902037045,0.6669778402537314,1,Soybean
Uttar Pradesh,Uttar Pradesh_Dist_30,8.867,86.672,Cotton,Rabi,2011,2011-10-23,2012-02-14,30.427,33.219,1.092,123.0,16.96,57.2,18.8,6.42,0.115,25.55,219.82,1.29,134.5,Rainfed,0.0,0.43623256918758235,0.421169726090164,0,Wheat
Rajasthan,Rajasthan_Dist_24,32.551,68.238,Rice,Zaid,2021,2021-04-25,2021-06-26,72.474,168.35,2.323,98.0,26.2,64.6,18.82,6.52,0.054,5.38,180.85,0.95,0.0,Rainfed,0.0,0.20075134513649773,0.14391816802233412,0,Soybean
Uttar Pradesh,Uttar Pradesh_Dist_22,28.631,85.961,Maize,Kharif,2023,2023-07-24,2023-11-30,67.106,394.804,5.883,545.0,28.07,64.5,21.71,6.96,0.137,35.95,121.89,4.65,82.0,Rainfed,0.0,0.7442837386570613,0.5803714432416601,0,Soybean
Rajasthan,Rajasthan_Dist_19,25.653,87.755,Maize,Kharif,2012,2012-06-16,2012-11-11,13.707,92.391,6.74,636.0,24.64,70.4,5.52,4.88,0.283,33.97,213.02,1.66,29.3,Groundwater,178.3,0.8011337226463122,0.6542525842437744,0,Pulses
Rajasthan,Rajasthan_Dist_35,24.532,88.769,Wheat,Zaid,2017,2017-04-03,2017-06-30,70.248,136.548,1.944,119.0,25.04,38.8,22.89,6.34,0.067,58.82,327.14,3.01,16.6,Rainfed,0.0,0.2799375935510398,0.2887237094789306,1,Millet
West Bengal,West Bengal_Dist_39,24.674,96.461,Wheat,Kharif,2018,2018-06-02,2018-09-18,27.457,123.042,4.481,383.0,27.94,51.6,15.7,7.12,0.298,26.06,327.43,3.74,77.2,Rainfed,0.0,0.5777615112188026,0.4468909539961147,0,Fallow
Andhra Pradesh,Andhra Pradesh_Dist_3,8.554,75.232,Maize,Kharif,2020,2020-06-04,2020-09-08,21.106,160.09,7.585,352.0,27.89,61.3,9.42,5.94,0.129,6.97,375.86,2.71,69.8,Canal,275.4,0.6968130242720619,0.5640974452458968,1,Cotton
Madhya Pradesh,Madhya Pradesh_Dist_12,22.943,68.924,Maize,Zaid,2014,2014-04-02,2014-07-30,111.168,996.005,8.959,66.0,25.74,59.6,24.65,6.69,0.255,59.64,177.58,3.31,165.7,Drip,384.1,0.7047597256635049,0.5387540454116369,0,Millet
Punjab,Punjab_Dist_20,32.338,92.184,Soybean,Rabi,2016,2016-11-05,2017-04-14,32.178,77.612,2.412,136.0,27.86,79.2,20.85,6.56,0.307,26.53,453.25,1.58,189.9,Sprinkler,440.1,0.7492398906312289,0.5861511487595376,1,Wheat
Punjab,Punjab_Dist_18,9.751,90.117,Soybean,Zaid,2016,2016-03-24,2016-06-28,40.819,53.578,1.313,59.0,34.36,71.3,17.02,6.37,0.153,32.4,272.21,2.84,39.5,Canal,311.9,0.36823393705587376,0.29707450523986023,0,Fallow
Tamil Nadu,Tamil Nadu_Dist_6,8.501,93.771,Pulses,Zaid,2021,2021-04-17,2021-07-02,28.382,29.24,1.03,136.0,28.14,55.1,27.93,5.57,0.242,32.21,436.64,4.44,15.8,Drip,268.2,0.4741485915765728,0.35064972772043096,1,Soybean
West Bengal,West Bengal_Dist_40,24.993,96.304,Soybean,Kharif,2019,2019-06-23,2019-10-20,13.367,24.517,1.834,527.0,26.4,49.2,21.16,6.58,0.102,21.8,215.01,1.22,5.2,Canal,364.1,0.8236610735589023,0.6729221967523297,1,Millet
Karnataka,Karnataka_Dist_13,13.231,75.591,Wheat,Kharif,2010,2010-07-02,2010-11-21,20.615,209.956,10.185,527.0,21.03,61.6,18.75,5.6,0.213,10.02,365.16,3.76,159.7,Canal,972.0,0.95,0.7719780822284252,0,Maize
Andhra Pradesh,Andhra Pradesh_Dist_23,15.201,96.043,Cotton,Kharif,2020,2020-06-10,2020-10-17,36.433,48.72,1.337,629.0,23.38,81.3,17.38,7.36,0.15,50.73,195.32,2.96,125.5,Rainfed,0.0,0.8979981548562479,0.6738625776270667,1,Pulses
Tamil Nadu,Tamil Nadu_Dist_36,20.186,79.142,Soybean,Kharif,2011,2011-06-07,2011-09-27,9.222,22.522,2.442,599.0,24.41,60.5,17.13,7.15,0.075,42.48,365.65,3.51,100.2,Drip,576.9,0.95,0.7396305896061061,1,Soybean
Andhra Pradesh,Andhra Pradesh_Dist_22,11.88,83.149,Pulses,Rabi,2022,2022-10-15,2023-04-13,28.811,19.173,0.665,147.0,28.28,76.6,20.07,5.92,0.173,25.61,468.72,4.23,0.0,Rainfed,0.0,0.23785701509821627,0.18549315713882544,0,Millet
Tamil Nadu,Tamil Nadu_Dist_22,14.364,94.339,Pulses,Rabi,2021,2021-10-19,2022-02-22,0.862,0.868,1.007,241.0,20.28,66.3,17.93,6.3,0.064,51.51,462.72,4.19,153.1,Rainfed,0.0,0.6405007077278504,0.4840058423026275,1,Cotton
Andhra Pradesh,Andhra Pradesh_Dist_23,21.266,93.302,Rice,Kharif,2014,2014-06-06,2014-10-23,19.016,154.718,8.136,542.0,32.33,37.0,17.39,5.95,0.216,18.93,481.36,0.63,136.2,Sprinkler,399.9,0.95,0.7155403437662261,1,Soybean
West Bengal,West Bengal_Dist_8,32.437,80.604,Sugarcane,Zaid,2023,2023-04-16,2023-06-20,62.751,4916.28,78.346,47.0,25.64,46.8,20.56,6.09,0.175,24.28,440.7,1.07,147.3,Rainfed,0.0,0.35780918393567274,0.2923479599006882,0,Pulses
Bihar,Bihar_Dist_24,31.969,95.772,Pulses,Rabi,2013,2013-11-02,2014-05-21,33.981,70.565,2.077,153.0,28.15,100.0,15.88,6.1,0.296,28.95,110.39,4.04,119.2,Canal,501.6,0.7805851445425918,0.6009431998832785,0,Wheat
Bihar,Bihar_Dist_6,29.292,88.533,Pulses,Zaid,2010,2010-04-16,2010-08-13,101.636,153.69,1.512,61.0,29.48,84.0,25.64,6.95,0.201,30.56,498.96,2.72,84.8,Sprinkler,389.2,0.6337003618158376,0.5086603982748201,0,Maize
Tamil Nadu,Tamil Nadu_Dist_20,13.283,96.216,Soybean,Kharif,2022,2022-06-13,2022-11-08,15.166,42.208,2.783,453.0,23.96,91.5,20.99,6.12,0.274,32.79,352.04,2.76,103.9,Sprinkler,545.9,0.95,0.7359554823450698,0,Maize
Tamil Nadu,Tamil Nadu_Dist_8,13.06,80.999,Wheat,Rabi,2010,2010-11-04,2011-02-17,8.809,53.226,6.042,199.0,18.76,43.8,19.72,6.87,0.121,20.88,473.95,4.22,138.5,Drip,479.1,0.8166079984986513,0.6296666214182787,0,Cotton
Tamil Nadu,Tamil Nadu_Dist_20,20.311,77.988,Wheat,Zaid,2022,2022-03-10,2022-05-21,46.443,119.758,2.579,124.0,22.3,52.9,22.57,6.35,0.075,40.3,278.21,4.59,114.9,Rainfed,0.0,0.3645244875541379,0.26484506946933223,0,Cotton
Karnataka,Karnataka_Dist_35,8.546,83.196,Soybean,Rabi,2020,2020-11-01,2021-02-23,59.666,94.022,1.576,197.0,26.72,48.7,25.68,6.34,0.348,45.09,480.05,4.26,220.6,Rainfed,0.0,0.5764160515499888,0.45305877469225375,0,Rice
West Bengal,West Bengal_Dist_36,15.956,69.451,Rice,Kharif,2018,2018-06-19,2018-10-23,35.666,194.718,5.459,568.0,25.1,43.6,8.55,7.2,0.207,36.47,438.27,4.13,67.2,Rainfed,0.0,0.7821988382527733,0.6049220622413056,1,Pulses
Bihar,Bihar_Dist_11,23.933,76.643,Rice,Rabi,2019,2019-10-16,2020-01-27,33.898,211.202,6.231,47.0,22.01,75.5,21.74,6.6,0.147,18.56,83.78,1.56,135.2,Sprinkler,368.9,0.5602460797437203,0.45953825160781275,1,Fallow
Maharashtra,Maharashtra_Dist_7,21.341,85.988,Millet,Kharif,2011,2011-07-11,2011-11-17,2.285,2.674,1.17,370.0,29.54,55.2,24.87,6.98,0.264,20.04,131.07,3.0,0.0,Rainfed,0.0,0.4513205242253093,0.30386932077756607,0,Millet
